,District,Rooms,Price
10578,Buca / İşçievleri,2+1,30.000 TL
10579,Karşıyaka / Alaybey,2+1,30.000 TL
10580,Çiğli / Ataşehir,1+1,30.000 TL
10581,Buca,2+1,30.000 TL
10582,Bornova / Atatürk,2+1,30.000 TL
10583,Ödemiş / Ovakent,2+1,30.000 TL
10584,Konak / Basmane,1+1,30.000 TL
10585,Bayraklı,2+1,30.000 TL
10586,Konak / Alsancak,2+1,30.000 TL
10587,Çiğli / Ataşehir,3+1,30.000 TL
10588,Buca / İşçievleri,3+1,30.000 TL
10589,Menemen / Ulukent,3+1,30.000 TL
10590,Karşıyaka / Nergiz,3+1,30.000 TL
10591,Karabağlar,2+1,30.000 TL
10592,Çeşme,1+1,30.000 TL
10593,Karşıyaka,3+1,30.000 TL
10594,Torbalı,2+1,30.000 TL
10595,Menemen,2+1,30.000 TL
10596,Narlıdere,1+1,30.000 TL
10597,Tire,2+1,30.000 TL
10598,Bayraklı / Gümüşpala,3+1,30.000 TL
10599,Karabağlar / Yeşilyurt,2+1,30.000 TL
10600,Buca,1+1,30.000 TL
10601,Menderes,2+1,30.000 TL
10602,Torbalı,3+1,30.000 TL
10603,Karabağlar / Yeşilyurt,3+1,30.000 TL
10604,Çiğli / Büyükçiğli,1+1,30.000 TL
10605,Karabağlar,3+1,30.000 TL
10606,Buca,3+1,30.000 TL
10607,Torbalı / Ayrancılar,3+1,30.000 TL
10608,Balçova,2+1,30.000 TL
10609,Çiğli / Balatçık,3+1,30.000 TL
10610,Konak / Eşrefpaşa,3+1,30.000 TL
10611,Bayraklı,3+1,30.000 TL
10612,Karşıyaka / Nergiz,2+1,30.000 TL
10613,Konak / Alsancak,2+1,30.000 TL
10614,Balçova,3+1,30.000 TL
10615,Bornova / Kazımdirik,1+1,30.000 TL
10616,Aliağa,2+1,30.000 TL
10617,Bornova / Naldöken,3+1,30.000 TL
10618,Selçuk,3+1,30.000 TL
10619,Buca,3+1,30.000 TL
10620,Balçova,1+1,30.000 TL
10621,Karabağlar / Yeşilyurt,2+1,30.000 TL
10622,Çeşme,1+1,30.000 TL
10623,Karşıyaka,3+1,30.000 TL
10624,Foça / Bağarası,2+1,30.000 TL
10625,Menemen,3+1,30.000 TL
10626,Buca / İşçievleri,2+1,30.000 TL
10627,Balçova,3+1,30.000 TL
10628,Bayraklı,3+1,30.000 TL
10629,Bayraklı,3+1,30.000 TL
10630,Konak / Küçükyalı,2+1,30.000 TL
10631,Buca,2+1,30.000 TL
10632,Bornova / Naldöken,2+1,30.000 TL
10633,Seferihisar,3+1,30.000 TL
10634,Bayraklı,2+1,30.000 TL
10635,Buca,2+1,30.000 TL
10636,Karabağlar / Hatay,3+1,30.000 TL
10637,Menderes,3+1,30.000 TL
10638,Karabağlar,1+1,30.000 TL
10639,Karşıyaka / Alaybey,3+1,30.000 TL
10640,Karabağlar / Fahrettinaltay,3+1,30.000 TL
10641,Karabağlar / Hatay,2+1,30.000 TL
10642,Buca / İşçievleri,3+1,30.000 TL
10643,Konak / Alsancak,2+1,30.000 TL
10644,Karşıyaka / İmbatlı,2+1,30.000 TL
10645,Torbalı,3+1,30.000 TL
10646,Karabağlar / Hatay,3+1,30.000 TL
10647,Gaziemir,3+1,30.000 TL
10648,Bornova / Kazımdirik,1+1,30.000 TL
10649,Seferihisar,3+1,30.000 TL
10650,Çiğli / Balatçık,2+1,30.000 TL
10651,Karabağlar / Yeşilyurt,3+1,30.000 TL
10652,Bornova / Naldöken,3+1,30.000 TL
10653,Gaziemir,3+1,30.000 TL
10654,Balçova,1+1,30.000 TL
10655,Karşıyaka / Cumhuriyet,2+1,30.000 TL
10656,Karabağlar / Fahrettinaltay,2+1,30.000 TL
10657,Karabağlar / Yeşilyurt,3+1,30.000 TL
10658,Balçova,2+1,30.000 TL
10659,Konak / Güzelyalı,3+1,30.000 TL
10660,Buca,2+1,30.000 TL
10661,Buca,2+1,30.000 TL
10662,Balçova,2+1,30.000 TL
10663,Torbalı,4+1,30.000 TL
10664,Torbalı / Ayrancılar,3+1,30.000 TL
10665,Gaziemir,3+1,30.000 TL
10666,Bornova / Naldöken,3+1,30.000 TL
10667,Buca,3.5+1,30.000 TL
10668,Karşıyaka / Nergiz,2+1,30.000 TL
10669,Karşıyaka,2+1,30.000 TL
10670,Çeşme,1+1,30.000 TL
10671,Çiğli / Egekent,3+1,30.000 TL
10672,Çiğli / Büyükçiğli,1+1,30.000 TL
10673,Çiğli / Ataşehir,3+1,30.000 TL
10674,Narlıdere,3+1,30.000 TL
10675,Foça / Eskifoça,2+1,30.000 TL
10676,Karşıyaka / Alaybey,3+1,30.000 TL
10677,Çiğli / Balatçık,2+1,30.000 TL
10678,Balçova,2+1,30.000 TL
10679,Karşıyaka / Nergiz,1+1,30.000 TL
10680,Bergama,2+1,30.000 TL
10681,Menderes,2+1,30.000 TL
10682,Bornova / Naldöken,2+1,30.000 TL
10683,Konak / Kahramanlar,3+1,30.000 TL
10684,Konak / Kahramanlar,1+1,30.000 TL
10685,Karşıyaka / Nergiz,2+1,30.000 TL
10686,Çiğli / Ataşehir,3+1,30.000 TL
10687,Buca,3+1,30.000 TL
10688,Bornova / Atatürk,3+1,30.000 TL
10689,Bornova / Atatürk,2+1,30.000 TL
10690,Konak / Kahramanlar,1+1,30.000 TL
10691,Menderes,3+1,30.000 TL
10692,Seferihisar,3+1,30.000 TL
10693,Buca,3+1,30.000 TL
10694,Selçuk,2+1,30.000 TL
10695,Çeşme,1+1,30.000 TL
10696,Gaziemir,1+1,30.000 TL
10697,Konak,2+1,30.000 TL
10698,Balçova,2+1,30.000 TL
10699,Bornova / Kazımdirik,3+1,30.000 TL
10700,Çiğli / Egekent,2+1,30.000 TL
10701,Bornova / Atatürk,3+1,30.000 TL
10702,Seferihisar,1+1,30.000 TL
10703,Seferihisar,2+1,30.000 TL
10704,Menderes,3+1,30.000 TL
10705,Buca,3+1,30.000 TL
10706,Karşıyaka / İmbatlı,2+1,30.000 TL
10707,Bergama,2+1,30.000 TL
10708,Çiğli / Balatçık,1+1,30.000 TL
10709,Konak / Alsancak,1+1,30.000 TL
10710,Karşıyaka,2+1,30.000 TL
10711,Çeşme,2+1,30.000 TL
10712,Bayraklı,2+1,30.000 TL
10713,Kemalpaşa,3+1,30.000 TL
10714,Karabağlar / Yeşilyurt,2+1,30.000 TL
10715,Bornova / Çamdibi,1+1,30.000 TL
10716,Torbalı,3+1,30.000 TL
10717,Bornova / Çamdibi,2+1,30.000 TL
10718,Karşıyaka,3+1,30.000 TL
10719,Bornova / Kazımdirik,3+1,30.000 TL
10720,Bornova,3.5+1,30.000 TL
10721,Torbalı / Ayrancılar,3+1,30.000 TL
10722,Karşıyaka / Nergiz,1+1,30.000 TL
10723,Karşıyaka / Nergiz,2+1,30.000 TL
10724,Bornova / Kazımdirik,1+1,30.000 TL
10725,Buca,1+1,30.000 TL
10726,Buca,3+1,30.000 TL
10727,Karabağlar / Hatay,2+1,30.000 TL
10728,Karşıyaka / Alaybey,3+1,30.000 TL
10729,Karşıyaka / Nergiz,1+1,30.000 TL
10730,Torbalı / Ayrancılar,3+1,30.000 TL
10731,Dikili / Çandarlı,2+1,30.000 TL
10732,Konak / Alsancak,3+1,30.000 TL
10733,Selçuk,3+1,30.000 TL
10734,Bayraklı,3+1,30.000 TL
10735,Bornova / Atatürk,2+1,30.000 TL
10736,Karşıyaka / Nergiz,3+1,30.000 TL
10737,Çiğli / Balatçık,2+1,30.000 TL
10738,Torbalı,2+1,30.000 TL
10739,Bayraklı,3+1,30.000 TL
10740,Seferihisar,3+1,30.000 TL
10741,Bayraklı,1+1,30.000 TL
10742,Buca,3+1,30.000 TL
10743,Çiğli / Merkez,2+1,31.000 TL
10744,Seferihisar,2+1,31.000 TL
10745,Torbalı,3+1,31.000 TL
10746,Seferihisar,2+1,30.500 TL
10747,Karabağlar / Fahrettinaltay,3+1,31.000 TL
10748,Karşıyaka / Nergiz,2+1,31.000 TL
10749,Bornova,1+1,31.000 TL
10750,Menemen,3+1,31.000 TL
10751,Balçova,3+1,30.500 TL
10752,Buca,3+1,31.000 TL
10753,Çiğli / Büyükçiğli,3+1,31.000 TL
10754,Seferihisar,2+1,31.000 TL
10755,Karşıyaka / Nergiz,3+1,31.000 TL
10756,Karşıyaka / Nergiz,2+1,31.000 TL
10757,Menemen / Ulukent,3+1,30.500 TL
10758,Karşıyaka / Alaybey,2+1,31.000 TL
10759,Karşıyaka / Nergiz,1+1,31.000 TL
10760,Karşıyaka / Nergiz,2+1,30.900 TL
10761,Balçova,1+1,31.000 TL
10762,Karşıyaka / Alaybey,1+1,30.500 TL
10763,Bornova / Çamdibi,1+1,31.000 TL
10764,Karabağlar / Fahrettinaltay,3+1,30.850 TL
10765,Seferihisar,2+2,31.000 TL
10766,Tire,1+1,30.500 TL
10767,Menderes,3+1,30.750 TL
10768,Buca / İşçievleri,3+1,31.000 TL
10769,Bornova,3+1,30.500 TL
10770,Karşıyaka / Nergiz,2+1,31.000 TL
10771,Torbalı,3+1,30.500 TL
10772,Bornova / Kazımdirik,Stüdyo (1+0),31.000 TL
10773,Karabağlar / Fahrettinaltay,2+1,30.500 TL
10774,Bayraklı,3+1,31.000 TL
10775,Konak / Küçükyalı,3+1,31.000 TL
10776,Karşıyaka / İmbatlı,3+1,31.000 TL
10777,Torbalı / Ayrancılar,1+1,31.000 TL
10778,Konak / Küçükyalı,1+1,31.000 TL
10779,Karşıyaka / Denizbostanlısı,1+1,31.000 TL
10780,Menemen / Koyundere,3+1,31.000 TL
10781,Karşıyaka / İmbatlı,2+1,31.000 TL
10782,Çiğli / Egekent,1+1,31.000 TL
10783,Karabağlar / Fahrettinaltay,1+1,31.000 TL
10784,Buca,3+1,31.000 TL
10785,Menemen,3+1,31.000 TL
10786,Karşıyaka / Alaybey,2+1,31.000 TL
10787,Bergama,2+1,30.500 TL
10788,Seferihisar,3+1,31.000 TL
10789,Menemen,3+1,31.000 TL
10790,Karabağlar / Hatay,2+1,31.000 TL
10791,Foça / Yenifoça,2+1,31.000 TL
10792,Torbalı,3+1,31.000 TL
10793,Bornova / Naldöken,1+1,30.500 TL
10794,Konak / Eşrefpaşa,3+1,31.000 TL
10795,Karabağlar / Hatay,2+1,30.750 TL
10796,Karşıyaka / Yalı,2+1,31.000 TL
10797,Çiğli / Ataşehir,1+1,31.000 TL
10798,Karşıyaka / Nergiz,3+1,31.000 TL
10799,Karşıyaka,3+1,31.000 TL
10800,Bornova / Kazımdirik,1+1,31.000 TL
10801,Urla,1+1,30.500 TL
10802,Bornova / Kazımdirik,3+1,31.000 TL
10803,Kemalpaşa / Ulucak,3+1,31.000 TL
10804,Kemalpaşa / Ulucak,3+1,31.000 TL
10805,Karşıyaka / Nergiz,3+1,31.000 TL
10806,Menemen,3+1,31.000 TL
10807,Karşıyaka / İmbatlı,3+1,31.000 TL
10808,Konak / Yenişehir,2+1,31.000 TL
10809,Bornova / Kazımdirik,1+1,31.000 TL
10810,Bornova / Çamdibi,1+1,30.500 TL
10811,Buca / İşçievleri,3+1,31.000 TL
10812,Buca,2+1,30.500 TL
10813,Tire,3+1,31.000 TL
10814,Seferihisar,3+1,30.500 TL
10815,Çiğli / Balatçık,2+1,30.500 TL
10816,Torbalı / Ayrancılar,3+1,31.000 TL
10817,Buca,4+1,31.000 TL
10818,Karşıyaka / Alaybey,2+1,31.000 TL
10819,Bayraklı / Manavkuyu,3+1,31.000 TL
10820,Buca / Şirinyer,3+1,31.000 TL
10821,Karşıyaka / İmbatlı,3+1,31.000 TL
10822,Konak / Güzelyalı,3+1,31.000 TL
10823,Buca / Şirinyer,3+1,31.000 TL
10824,Karşıyaka / Nergiz,2+1,31.000 TL
10825,Karşıyaka / Nergiz,2+1,31.000 TL
10826,Buca,1+1,31.000 TL
10827,Konak / Küçükyalı,3+1,31.000 TL
10828,Seferihisar,3+1,31.000 TL
10829,Konak / Küçükyalı,2+1,31.000 TL
10830,Konak / Eşrefpaşa,2+1,31.000 TL
10831,Karabağlar / Hatay,3+1,30.500 TL
10832,Bornova / Kazımdirik,1+1,31.000 TL
10833,Bornova,2+1,31.000 TL
10834,Bornova,1+1,31.000 TL
10835,Karşıyaka / Nergiz,2+1,31.000 TL
10836,Buca,2+1,31.000 TL
10837,Bayraklı / Alpaslan,3+1,31.000 TL
10838,Bornova,3+1,30.750 TL
10839,Karşıyaka / Nergiz,2+1,31.000 TL
10840,Bornova / Naldöken,2+1,30.500 TL
10841,Bornova / Çamdibi,1+1,31.000 TL
10842,Karşıyaka / Alaybey,3+1,31.000 TL
10843,Seferihisar,3+1,31.000 TL
10844,Buca / Şirinyer,2+1,31.000 TL
10845,Karşıyaka / Nergiz,2+1,31.000 TL
10846,Buca,3+1,31.000 TL
10847,Kemalpaşa,3+1,31.000 TL
10848,Bornova / Kazımdirik,1+1,31.000 TL
10849,Buca,1+1,31.000 TL
10850,Buca / İşçievleri,2+1,31.000 TL
10851,Çiğli / Ataşehir,1+1,30.500 TL
10852,Bornova / Atatürk,3+1,31.000 TL
10853,Tire,3+1,31.000 TL
10854,Kemalpaşa / Ulucak,2+1,30.750 TL
10855,Bornova / Atatürk,3+1,31.000 TL
10856,Güzelbahçe,2+1,30.500 TL
10857,Buca / İşçievleri,3+1,30.200 TL
10858,Konak / Alsancak,2+1,31.000 TL
10859,Bayraklı / Alpaslan,2+1,31.000 TL
10860,Karşıyaka,3+1,31.000 TL
10861,Bayraklı / Manavkuyu,3+1,31.000 TL
10862,Balçova,2+1,31.000 TL
10863,Konak / Alsancak,2+1,31.000 TL
10864,Menemen / Ulukent,1+1,30.500 TL
10865,Bayraklı / Gümüşpala,3+1,31.000 TL
10866,Çiğli / Merkez,2+1,30.500 TL
10867,Gaziemir,1+1,31.000 TL
10868,Karşıyaka / Nergiz,2+1,31.000 TL
10869,Bornova / Çamdibi,2+1,31.000 TL
10870,Narlıdere,3+1,31.000 TL
10871,Karşıyaka,3+1,31.000 TL
10872,Buca / İşçievleri,3+1,31.000 TL
10873,Gaziemir,2+1,31.000 TL
10874,Seferihisar,4+1,31.000 TL
10875,Bornova / Kazımdirik,1+1,31.000 TL
10876,Buca,3+1,31.000 TL
10877,Karşıyaka / Cumhuriyet,2+1,30.500 TL
10878,Karşıyaka / Nergiz,2+1,31.000 TL
10879,Konak / Alsancak,2+1,31.000 TL
10880,Bayraklı / Gümüşpala,1+1,31.000 TL
10881,Bornova / Kazımdirik,1+1,31.000 TL
10882,Menemen,3+1,31.000 TL
10883,Karşıyaka / Nergiz,2+1,31.000 TL
10884,Karabağlar / Fahrettinaltay,3+1,31.000 TL
10885,Konak / Alsancak,2+1,31.000 TL
10886,Torbalı,2+1,30.500 TL
10887,Karşıyaka / Alaybey,3+1,31.000 TL
10888,Torbalı / Yazıbaşı,2+1,30.500 TL
10889,Karabağlar / Yeşilyurt,2+1,31.000 TL
10890,Çiğli / Ataşehir,1+1,31.000 TL
10891,Urla,2+1,31.000 TL
10892,Torbalı / Ayrancılar,3+1,31.000 TL
10893,Karşıyaka / Nergiz,1+1,31.000 TL
10894,Buca / İşçievleri,3+1,31.000 TL
10895,Bornova / Atatürk,3+1,31.000 TL
10896,Menderes,3+1,31.000 TL
10897,Bornova / Kazımdirik,1+1,31.000 TL
10898,Menemen,2+1,31.000 TL
10899,Çiğli / Egekent,3+1,31.000 TL
10900,Çiğli / Balatçık,2+1,31.000 TL
10901,Çiğli / Merkez,3+1,31.000 TL
10902,Buca,3+1,31.000 TL
10903,Konak / Güzelyalı,2+1,31.000 TL
10904,Bornova / Naldöken,1+1,31.000 TL
10905,Karşıyaka / İmbatlı,3+1,31.000 TL
10906,Bornova / Kazımdirik,1+1,30.250 TL
10907,Bornova / Kazımdirik,1+1,31.000 TL
10908,Çiğli / Merkez,2+1,31.000 TL
10909,Bornova / Atatürk,3+1,31.000 TL
10910,Menemen,3+1,31.000 TL
10911,Menderes,3+1,31.000 TL
10912,Konak / Küçükyalı,1+1,30.750 TL
10913,Bayraklı,3+1,31.000 TL
10914,Narlıdere,1+1,31.000 TL
10915,Konak / Güzelyalı,3+1,31.000 TL
10916,Menemen,3+1,31.000 TL
10917,Torbalı,2+1,31.000 TL
10918,Konak / Alsancak,1+1,31.050 TL
10919,Buca / Şirinyer,3+1,31.000 TL
10920,Torbalı,3+1,31.000 TL
10921,Bornova / Pınarbaşı,2+1,31.000 TL
10922,Torbalı / Ayrancılar,3+1,31.000 TL
10923,Torbalı,3+1,30.500 TL
10924,Bornova,3+1,31.000 TL
10925,Çiğli / Balatçık,3+1,31.000 TL
10926,Çiğli / Egekent,3+1,30.500 TL
10927,Konak / Güzelyalı,3+1,30.500 TL
10928,Balçova,2+1,31.000 TL
10929,Konak / Alsancak,1+1,31.000 TL
10930,Torbalı,2+1,30.500 TL
10931,Gaziemir,2+1,31.000 TL
10932,Aliağa,3+1,31.000 TL
10933,Bayraklı / Soğukkuyu,3+1,31.000 TL
10934,Bornova,3+1,31.000 TL
10935,Bayraklı,2+1,31.000 TL
10936,Karşıyaka / Nergiz,3+1,31.000 TL
10937,Çiğli / Ataşehir,1+1,31.000 TL
10938,Balçova,3+1,31.000 TL
10939,Bornova / Altındağ,3+1,31.000 TL
10940,Tire,3+1,32.500 TL
10941,Bornova / Işıkkent,1+1,33.000 TL
10942,Karşıyaka / Denizbostanlısı,1+1,32.500 TL
10943,Karşıyaka,3+1,32.000 TL
10944,Bornova / Çamdibi,1+1,32.000 TL
10945,Karşıyaka,2+1,32.000 TL
10946,Bayraklı,3+1,31.950 TL
10947,Aliağa,3+1,33.000 TL
10948,Bornova / Atatürk,2+1,32.000 TL
10949,Çeşme,1+1,33.000 TL
10950,Konak / Güzelyalı,2+1,32.000 TL
10951,Çiğli / Ataşehir,1+1,32.000 TL
10952,Karşıyaka,3+1,32.500 TL
10953,Seferihisar / Doğanbey,2+1,32.500 TL
10954,Urla,1+1,33.000 TL
10955,Çiğli / Balatçık,2+1,32.000 TL
10956,Çeşme,2+1,32.000 TL
10957,Torbalı,4+1,31.500 TL
10958,Bayraklı / Soğukkuyu,3+1,32.000 TL
10959,Çeşme,1+1,32.000 TL
10960,Karşıyaka / Nergiz,2+1,32.000 TL
10961,Karşıyaka,2+1,32.000 TL
10962,Konak / Alsancak,1+1,32.000 TL
10963,Aliağa,3+1,32.000 TL
10964,Bayraklı / Manavkuyu,3+1,33.000 TL
10965,Balçova,3+1,32.500 TL
10966,Bornova / Naldöken,1+1,32.000 TL
10967,Menderes,3+1,32.000 TL
10968,Foça / Bağarası,3+1,32.500 TL
10969,Bayraklı,2+1,32.000 TL
10970,Karşıyaka,3+1,33.000 TL
10971,Bornova / Naldöken,1+1,32.000 TL
10972,Bornova / Altındağ,2+1,33.000 TL
10973,Seferihisar,2+1,33.000 TL
10974,Karşıyaka / Nergiz,1+1,32.000 TL
10975,Bayraklı / Alpaslan,3+1,32.000 TL
10976,Bayraklı / Soğukkuyu,3.5+1,32.500 TL
10977,Bornova / Çamdibi,2+1,32.000 TL
10978,Karşıyaka / Nergiz,3+1,32.000 TL
10979,Konak,3+1,33.000 TL
10980,Bayraklı,3+1,33.000 TL
10981,Torbalı,3+1,32.000 TL
10982,Konak / Alsancak,2+1,32.500 TL
10983,Karşıyaka / Yalı,1+1,32.000 TL
10984,Bornova / Kazımdirik,3+1,32.000 TL
10985,Gaziemir,2+1,33.000 TL
10986,Dikili / Çandarlı,2+1,33.000 TL
10987,Bornova / Kazımdirik,1+1,32.000 TL
10988,Torbalı / Ayrancılar,3+1,32.000 TL
10989,Karşıyaka / Alaybey,3+1,32.000 TL
10990,Karşıyaka / Yalı,2+1,33.000 TL
10991,Kemalpaşa / Ulucak,3+1,32.000 TL
10992,Karabağlar / Hatay,3+1,33.000 TL
10993,Urla,3+1,33.000 TL
10994,Aliağa,2+1,32.000 TL
10995,Konak / Alsancak,3+1,33.000 TL
10996,Karşıyaka,3+1,33.000 TL
10997,Karşıyaka / Denizbostanlısı,2+1,33.000 TL
10998,Buca / İşçievleri,3+1,32.000 TL
10999,Gaziemir,3+1,32.000 TL
11000,Karşıyaka / Nergiz,2+1,32.000 TL
11001,Karşıyaka / Nergiz,2+1,32.000 TL
11002,Konak,2+1,32.000 TL
11003,Konak / Kahramanlar,2+1,32.500 TL
11004,Konak / Alsancak,2+1,33.000 TL
11005,Balçova,1+1,33.000 TL
11006,Menemen / Ulukent,2+1,32.000 TL
11007,Karşıyaka / Yalı,1+1,33.000 TL
11008,Bornova / Atatürk,3+1,32.000 TL
11009,Çiğli / Balatçık,2+1,33.000 TL
11010,Buca,3+1,32.000 TL
11011,Narlıdere,3+1,32.000 TL
11012,Tire,3+1,32.000 TL
11013,Bornova / Kazımdirik,1+1,33.000 TL
11014,Buca / Şirinyer,3+1,32.000 TL
11015,Karşıyaka / Nergiz,2+1,32.000 TL
11016,Karabağlar / Yeşilyurt,2+1,32.000 TL
11017,Balçova,3+1,33.000 TL
11018,Bayraklı,3+1,33.000 TL
11019,Konak / Alsancak,1+1,32.500 TL
11020,Gaziemir,1+1,32.000 TL
11021,Menemen / Ulukent,2+1,31.500 TL
11022,Karşıyaka,3+1,32.000 TL
11023,Karşıyaka / Nergiz,1+1,32.900 TL
11024,Aliağa,3+1,33.000 TL
11025,Bornova / Altındağ,3+1,32.500 TL
11026,Bornova / Çamdibi,3+1,32.000 TL
11027,Karabağlar / Yeşilyurt,3+1,32.000 TL
11028,Bayraklı / Alpaslan,3+1,33.000 TL
11029,Konak / Küçükyalı,2+1,33.000 TL
11030,Karşıyaka / Denizbostanlısı,1+1,32.000 TL
11031,Bayraklı / Soğukkuyu,3+1,33.000 TL
11032,Çeşme / Köyler,2+1,32.500 TL
11033,Karşıyaka / Alaybey,2+1,32.000 TL
11034,Çiğli / Balatçık,3+1,33.000 TL
11035,Buca / Şirinyer,3+1,33.000 TL
11036,Karşıyaka / Yalı,1+1,31.500 TL
11037,Foça / Bağarası,3+1,33.000 TL
11038,Seferihisar,2+1,33.000 TL
11039,Çeşme,1+1,32.000 TL
11040,Bayraklı / Manavkuyu,2+1,32.500 TL
11041,Bornova / Atatürk,3+1,32.500 TL
11042,Karabağlar / Hatay,2+1,33.000 TL
11043,Selçuk,2+1,32.500 TL
11044,Güzelbahçe / Yelki,1+1,32.500 TL
11045,Seferihisar / Ürkmez,2+1,33.000 TL
11046,Karabağlar,3+1,32.500 TL
11047,Bornova / Naldöken,2+1,33.000 TL
11048,Buca / İşçievleri,4+1,33.000 TL
11049,Karşıyaka / İmbatlı,2+1,32.500 TL
11050,Buca / Şirinyer,3+1,33.000 TL
11051,Bayraklı / Gümüşpala,3+1,33.000 TL
11052,Karşıyaka / İmbatlı,2+1,32.000 TL
11053,Karşıyaka / Nergiz,2+1,33.000 TL
11054,Konak / Yenişehir,1+1,33.000 TL
11055,Karşıyaka / Nergiz,2+1,32.500 TL
11056,Karşıyaka,3+1,32.000 TL
11057,Buca / İşçievleri,3+1,32.000 TL
11058,Balçova,2+1,33.000 TL
11059,Bornova / Altındağ,2+1,32.000 TL
11060,Çeşme,1+1,32.500 TL
11061,Karabağlar / Hatay,3+1,32.000 TL
11062,Karşıyaka / Yalı,2+1,32.000 TL
11063,Konak / Küçükyalı,3+1,32.000 TL
11064,Karabağlar / Kibar,2+1,32.000 TL
11065,Karabağlar / Fahrettinaltay,3+1,32.000 TL
11066,Bornova / Kazımdirik,3+1,32.000 TL
11067,Torbalı,3+1,33.000 TL
11068,Bornova / Kazımdirik,1+1,32.000 TL
11069,Karşıyaka / Denizbostanlısı,3+1,33.000 TL
11070,Karşıyaka / Yalı,3+1,31.500 TL
11071,Karşıyaka,3+1,33.000 TL
11072,Karşıyaka / Denizbostanlısı,1+1,33.000 TL
11073,Tire,3+1,32.000 TL
11074,Konak / Eşrefpaşa,2+1,32.000 TL
11075,Seferihisar,3+1,32.000 TL
11076,Bayraklı / Manavkuyu,3+1,33.000 TL
11077,Karşıyaka / İmbatlı,2+1,32.000 TL
11078,Bornova / Naldöken,1+1,31.400 TL
11079,Bornova / Kazımdirik,3+1,32.000 TL
11080,Bornova / Kazımdirik,3+1,33.000 TL
11081,Buca,1+1,33.000 TL
11082,Çeşme / Köyler,2+1,33.000 TL
11083,Gaziemir,1+1,33.000 TL
11084,Torbalı / Ayrancılar,3+1,33.000 TL
11085,Balçova,3+1,32.000 TL
11086,Konak / Küçükyalı,3+1,32.000 TL
11087,Seferihisar,2+1,32.000 TL
11088,Karşıyaka / Nergiz,3+1,32.500 TL
11089,Bornova / Kazımdirik,3+1,32.000 TL
11090,Çiğli / Ataşehir,3+1,32.000 TL
11091,Aliağa,3+1,32.000 TL
11092,Bornova / Altındağ,3+1,32.000 TL
11093,Bayraklı / Alpaslan,3+1,32.500 TL
11094,Tire,4+1,32.000 TL
11095,Çiğli / Balatçık,2+1,32.500 TL
11096,Menemen / Ulukent,2+1,32.000 TL
11097,Buca / Şirinyer,3+1,32.500 TL
11098,Aliağa,1+1,33.000 TL
11099,Buca,3+1,32.000 TL
11100,Karşıyaka / Nergiz,2+1,32.000 TL
11101,Karabağlar / Hatay,3+1,33.000 TL
11102,Menemen,3+1,33.000 TL
11103,Bornova,2+1,32.000 TL
11104,Ödemiş,3+1,32.000 TL
11105,Çiğli / Egekent,3+1,32.000 TL
11106,Ödemiş,4+1,32.000 TL
11107,Karşıyaka / Alaybey,3+1,32.000 TL
11108,Karşıyaka / Denizbostanlısı,2+1,32.000 TL
11109,Bornova / Atatürk,3+1,32.000 TL
11110,Buca / İşçievleri,3+1,32.000 TL
11111,Karşıyaka,3+1,32.000 TL
11112,Karabağlar / Hatay,3+1,33.000 TL
11113,Buca,1+1,33.000 TL
11114,Karşıyaka / Denizbostanlısı,2+1,33.000 TL
11115,Karabağlar / Yeşilyurt,3+1,32.500 TL
11116,Buca / Şirinyer,3+1,32.000 TL
11117,Karşıyaka / Alaybey,3+1,33.000 TL
11118,Bornova / Atatürk,2+1,32.000 TL
11119,Bayraklı / Alpaslan,3+1,33.000 TL
11120,Karabağlar / Yeşilyurt,3+1,33.000 TL
11121,Çiğli / Büyükçiğli,1+1,33.000 TL
11122,Karşıyaka / Denizbostanlısı,3+1,33.000 TL
11123,Bergama,3+1,32.000 TL
11124,Konak,3+1,32.000 TL
11125,Karşıyaka / İmbatlı,1+1,33.000 TL
11126,Seferihisar,1+1,32.000 TL
11127,Güzelbahçe / Yelki,1+1,32.000 TL
11128,Güzelbahçe,1+1,31.500 TL
11129,Karşıyaka / Alaybey,3+1,32.000 TL
11130,Dikili / Çandarlı,3+1,32.500 TL
11131,Buca,2+1,31.500 TL
11132,Karşıyaka,1+1,32.000 TL
11133,Bornova / Çamdibi,2+1,32.000 TL
11134,Bayraklı / Manavkuyu,3+1,33.000 TL
11135,Dikili,5+1,32.000 TL
11136,Bornova / Kazımdirik,1+1,32.000 TL
11137,Karşıyaka / Alaybey,3+1,33.000 TL
11138,Karşıyaka,2+1,32.500 TL
11139,Karşıyaka,3+1,32.000 TL
11140,Karşıyaka / Nergiz,2+1,32.000 TL
11141,Karşıyaka / Denizbostanlısı,3+1,32.000 TL
11142,Konak / Güzelyalı,2+1,32.500 TL
11143,Torbalı / Ayrancılar,3+1,32.000 TL
11144,Menderes,3+1,33.000 TL
11145,Bornova / Atatürk,3+1,32.000 TL
11146,Urla,2+1,32.000 TL
11147,Bornova / Atatürk,3+1,33.000 TL
11148,Gaziemir,1+1,32.000 TL
11149,Buca / Şirinyer,1+1,32.000 TL
11150,Karşıyaka / İmbatlı,3+1,33.000 TL
11151,Konak / Küçükyalı,2+1,32.000 TL
11152,Menemen / Koyundere,3+1,32.000 TL
11153,Menemen / Ulukent,3+1,32.000 TL
11154,Torbalı / Ayrancılar,2+1,32.000 TL
